Symbol,Name
DDD,3D Systems
ACIW,ACI Worldwide
ADBE,Adobe
AKAM,Akamai
MDRX,Allscripts
GOOGL,Alphabet A
GOOG,Alphabet Inc C
AABA,Altaba
AMD,AMD
DOX,Amdocs
ADI,Analog Devices
ANSS,ANSYS
AAPL,Apple
AMAT,Applied Materials
ANET,Arista Networks
ARRS,ARRIS Group Inc
AZPN,Aspen
ATHN,athenahealth
ADSK,Autodesk
BLKB,Blackbaud
AVGO,Broadcom
CA,CA
CACI,CACI
CDNS,Cadence Design
CAVM,Cavium
CDK,CDK Global Holdings LLC
CDW,CDW Corp
CERN,Cerner
CIEN,Ciena Corp
CRUS,Cirrus
CSCO,Cisco
CTXS,Citrix Systems
CTSH,Cognizant
COMM,Commscope Hlding
CVLT,CommVault
GLW,Corning
CREE,Cree
CY,Cypress
DVMT,Dell
DBD,Diebold
DXC,DXC Technology
DY,Dycom Industries
EBAY,eBay
SATS,EchoStar
EFII,Electronics for Imaging
ELLI,Ellie Mae
EPAM,EPAM Systems
FFIV,F5 Networks
FB,Facebook
FICO,Fair Isaac
FNSR,Finisar
FEYE,FireEye
FTNT,Fortinet
GRMN,Garmin Ltd
IT,Gartner
GRUB,Grubhub Inc
GWRE,Guidewire
HRS,Harris
HPE,Hewlett Packard
HPQ,HP Inc
IAC,IAC/InterActiveCorp
IBM,IBM
IDTI,Integrated Device
INTC,Intel
IDCC,InterDigital
INTU,Intuit
JCOM,j2 Global
JNPR,Juniper
KLAC,KLA-Tencor
LRCX,Lam Research Corp
LDOS,Leidos Holdings
LITE,Lumentum Holdings Inc
MANH,Manhattan Associates
MRVL,Marvell
MXIM,Maxim
MDSO,Medidata
MCHP,Microchip
MU,Micron
MSFT,Microsoft
MSI,Motorola
NCR,NCR
NTAP,NetApp
NTCT,NetScout
NUAN,Nuance Communications
NVDA,NVIDIA
ON,ON Semiconductor
ORCL,Oracle
PANW,Palo Alto Networks
P,Pandora Media
PBI,Pitney Bowes
PLT,Plantronics
PFPT,Proofpoint
PTC,PTC
QRVO,Qorvo Inc
QCOM,Qualcomm
RHT,Red Hat
CRM,Salesforce.com
SAIC,Scnc App In
STX,Seagate Technology
SMTC,Semtech
NOW,ServiceNow Inc
SLAB,Silicon Labs
SWKS,Skyworks
SPLK,Splunk
SSNC,SS&Cs
SYMC,Symantec
SYNA,Synaptics
SNX,Synnex
SNPS,Synopsys
DATA,Tableau Software
TECD,Tech Data
TDC,Teradata
TER,Teradyne
TXN,Texas Instruments
ULTI,The Ultimate Software
TWTR,Twitter Inc
TYL,Tyler Technologies
VEEV,Veeva Sys Inc
VRNT,Verint
VRSN,VeriSign
VSM,Versum Materials
VSAT,ViaSat
VIAV,Viavi Solutions
VMW,VMware
WDC,Western Digital
WDAY,Workday
WP,Worldpay
XLNX,Xilinx
ZAYO,Zayo Group Holdings Inc
Z,Zillow C
ZG,Zillow Group Inc
